Episode,Epsilon,Avg_Coverage,Global_Coverage,Survival_Rate,Avg_Loss,Avg_Q,Stuck_Overrides
0,1.0,0.8683,0.8545,1.0,0.0,0.0,0
1,0.999,0.8603,0.8545,1.0,0.0,0.0,0
2,0.998,0.4465,0.8545,0.25,0.0,0.0,0
3,0.997,0.9185,0.8592,1.0,0.0,0.0,0
4,0.996,0.8945,0.8545,1.0,0.0,0.0,0
5,0.995,0.8843,0.8545,1.0,0.0,0.0,0
6,0.994,0.8513,0.8592,1.0,0.0,0.0,1
7,0.993,0.8302,0.8592,0.75,0.0,0.0,0
8,0.992,0.8201,0.8545,1.0,0.0,0.0,0
9,0.991,0.8945,0.8545,1.0,0.0,0.0,0
10,0.99,0.6051,0.8545,0.5,0.0,0.0,1
11,0.989,0.8555,0.8545,0.75,0.0,0.0,0
12,0.988,0.8568,0.8638,1.0,0.0,0.0,0
13,0.987,0.8982,0.8545,1.0,0.0,0.0,0
14,0.986,0.7159,0.8545,0.5,0.0,0.0,0
15,0.985,0.777,0.8545,1.0,0.0,0.0,0
16,0.984,0.8398,0.8545,1.0,0.0,0.0,0
17,0.983,0.8694,0.8545,1.0,0.0,0.0,0
18,0.982,0.6908,0.8545,0.25,0.0,0.0,0
19,0.981,0.8803,0.8545,1.0,0.0,0.0,0
20,0.98,0.8664,0.8592,1.0,0.0,0.0,0
21,0.979,0.9071,0.8545,1.0,0.0,0.0,0
22,0.978,0.7046,0.8545,0.75,0.0,0.0,0
23,0.977,0.8769,0.8545,1.0,0.0,0.0,0
24,0.976,0.5494,0.8545,0.5,0.0,0.0,0
25,0.975,0.8354,0.8592,1.0,0.0,0.0,0
26,0.974,0.8556,0.8545,0.75,0.0,0.0,1
27,0.973,0.8867,0.8545,1.0,0.0,0.0,1
28,0.972,0.8701,0.8545,1.0,0.0,0.0,0
29,0.971,0.8817,0.8592,1.0,0.0,0.0,0
30,0.97,0.8537,0.8545,1.0,0.0,0.0,0
31,0.969,0.6917,0.8545,0.75,0.0,0.0,0
32,0.968,0.9047,0.8592,0.75,0.0,0.0,0
33,0.967,0.908,0.8545,1.0,0.0,0.0,0
34,0.966,0.8624,0.8545,0.75,0.0,0.0,1
35,0.965,0.88,0.8638,1.0,0.0,0.0,1
36,0.964,0.8565,0.8638,1.0,0.0,0.0,0
37,0.963,0.6437,0.8545,0.75,0.0,0.0,0
38,0.962,0.8305,0.8592,0.75,0.0,0.0,0
39,0.961,0.7329,0.8545,0.5,0.0,0.0,1
40,0.96,0.8532,0.8638,1.0,4.9391,0.024,1
41,0.959,0.901,0.8545,1.0,4.8094,0.265,0
42,0.958,0.8538,0.8638,1.0,4.1736,1.4293,0
43,0.957,0.6355,0.8545,0.75,3.4175,3.5369,0
